Iterazione,AccelX_T1_Mean,AccelX_T1_Variance,AccelX_T1_StdDev,AccelX_T1_Max,AccelX_T1_Min,AccelX_T1_AbsDerivative,AccelY_T1_Mean,AccelY_T1_Variance,AccelY_T1_StdDev,AccelY_T1_Max,AccelY_T1_Min,AccelY_T1_AbsDerivative,AccelZ_T1_Mean,AccelZ_T1_Variance,AccelZ_T1_StdDev,AccelZ_T1_Max,AccelZ_T1_Min,AccelZ_T1_AbsDerivative,AccelX_T2_Mean,AccelX_T2_Variance,AccelX_T2_StdDev,AccelX_T2_Max,AccelX_T2_Min,AccelX_T2_AbsDerivative,AccelY_T2_Mean,AccelY_T2_Variance,AccelY_T2_StdDev,AccelY_T2_Max,AccelY_T2_Min,AccelY_T2_AbsDerivative,AccelZ_T2_Mean,AccelZ_T2_Variance,AccelZ_T2_StdDev,AccelZ_T2_Max,AccelZ_T2_Min,AccelZ_T2_AbsDerivative,AccelT1_SMA,AccelT2_SMA,Label
41,1435.0,107.44,10.365,1461,1401,11,2072.133,88.049,9.383,2094,2045,31,2629.887,96.567,9.827,2666,2602,25,1877.967,145.232,12.051,1908,1843,20,1484.453,219.021,14.799,1527,1447,21,2330.027,199.786,14.135,2371,2288,16,6137.02,5692.446666666667,sitting
42,1402.967,436.392,20.89,1454,1370,66,2047.34,154.784,12.441,2081,2024,40,2608.34,178.598,13.364,2638,2583,42,1878.667,148.076,12.169,1908,1849,20,1472.953,286.324,16.921,1527,1429,0,2315.32,268.551,16.388,2362,2275,5,6058.6466666666665,5666.94,sitting
43,1548.113,72622.9,269.486,2251,1195,713,2207.967,22627.166,150.423,2604,2010,564,2642.66,3333.078,57.733,3024,2553,45,1872.107,341.082,18.468,1918,1803,23,1477.133,417.422,20.431,1523,1411,25,2321.533,441.102,21.002,2382,2266,36,6398.74,5670.7733333333335,sitting
44,1626.307,85592.306,292.562,2251,1078,186,1918.853,340407.218,583.444,2659,1157,1135,2412.187,37909.618,194.704,3024,2080,487,1807.447,1324.847,36.398,1901,1734,89,1460.327,265.113,16.282,1498,1411,5,2288.793,408.471,20.211,2344,2231,25,5957.346666666666,5556.566666666667,sitting
45,1784.58,19179.017,138.488,1977,1348,71,1170.18,2900.041,53.852,1303,957,142,2189.253,7866.216,88.692,2422,1966,259,1778.907,208.858,14.452,1822,1734,20,1474.247,381.399,19.529,1534,1429,20,2295.547,596.768,24.429,2352,2240,50,5144.013333333333,5548.7,sitting
46,1440.813,78711.898,280.556,1963,829,428,1803.913,152487.706,390.497,2254,1021,973,2359.567,116992.406,342.042,3405,1701,485,1816.533,742.076,27.241,1876,1748,46,1498.5,784.463,28.008,1615,1414,33,2332.787,517.848,22.756,2383,2237,6,5604.293333333333,5647.82,sitting
47,1490.333,237.089,15.398,1566,1457,94,2059.513,68.81,8.295,2089,2040,12,2654.467,150.969,12.287,2710,2612,44,1833.913,273.079,16.525,1874,1771,1,1482.84,355.108,18.844,1533,1422,10,2320.72,419.175,20.474,2373,2268,16,6204.3133333333335,5637.473333333333,sitting
48,1484.607,51.412,7.17,1504,1463,11,2059.833,49.299,7.021,2080,2043,2,2651.207,39.124,6.255,2677,2631,1,1837.067,215.302,14.673,1876,1793,8,1505.227,194.042,13.93,1533,1474,54,2344.227,126.775,11.259,2375,2309,28,6195.6466666666665,5686.52,sitting
49,1484.333,56.049,7.487,1500,1462,3,2059.733,52.169,7.223,2080,2044,2,2649.793,52.377,7.237,2677,2633,2,1839.013,154.493,12.43,1877,1803,5,1494.133,278.942,16.702,1531,1448,9,2333.167,253.526,15.922,2367,2288,6,6193.86,5666.3133333333335,sitting
50,1483.927,53.788,7.334,1504,1466,0,2058.427,51.045,7.145,2076,2041,9,2651.14,46.36,6.809,2666,2633,9,1838.147,129.018,11.359,1869,1806,1,1484.5,203.597,14.269,1528,1448,1,2325.82,139.414,11.807,2357,2299,14,6193.493333333333,5648.466666666666,sitting
51,1483.813,57.645,7.592,1505,1456,2,2057.173,54.677,7.394,2083,2037,27,2649.967,45.072,6.714,2667,2630,3,1840.813,137.952,11.745,1877,1812,7,1501.56,178.046,13.343,1541,1471,20,2337.307,200.039,14.144,2366,2300,34,6190.953333333333,5679.68,sitting
52,1482.793,46.737,6.836,1500,1461,4,2056.867,46.649,6.83,2074,2040,9,2649.627,49.154,7.011,2669,2633,6,1839.76,147.529,12.146,1870,1806,8,1499.833,218.979,14.798,1532,1445,26,2336.153,275.623,16.602,2366,2280,36,6189.286666666667,5675.746666666667,sitting
53,1482.673,50.673,7.118,1500,1467,9,2056.587,48.922,6.994,2078,2040,2,2649.613,47.424,6.887,2669,2634,2,1837.667,144.276,12.011,1872,1807,18,1494.993,207.38,14.401,1538,1455,3,2332.427,214.325,14.64,2369,2297,6,6188.873333333333,5665.086666666667,sitting
54,1492.94,2567.55,50.671,1735,1381,248,2055.047,272.431,16.505,2108,1973,33,2655.067,787.902,28.07,2783,2493,157,1838.253,305.069,17.466,1898,1764,14,1496.92,1484.647,38.531,1712,1301,136,2334.507,322.183,17.949,2371,2250,76,6203.053333333333,5669.68,sitting
55,1394.18,83876.041,289.614,2378,364,92,1538.473,154754.409,393.388,2178,22,712,2253.593,96952.255,311.372,3895,1309,480,1797.527,14875.196,121.964,1997,1127,66,1338.38,37571.316,193.833,1796,279,93,2068.32,44491.351,210.93,2385,1632,142,5186.246666666667,5204.2266666666665,sitting
56,1393.507,7244.797,85.116,1592,1076,49,1395.04,9404.572,96.977,1558,1197,158,2230.093,11331.845,106.451,2541,2012,247,1834.48,6295.156,79.342,2030,1502,287,1314.087,11270.972,106.165,1796,796,565,2056.473,16313.796,127.725,2385,1746,416,5018.64,5205.04,sitting
57,1347.26,1828.592,42.762,1642,1249,1,1516.967,3485.779,59.04,1681,1159,46,2337.673,313.993,17.72,2397,2289,23,1869.907,1544.285,39.297,2022,1744,19,1403.56,5614.846,74.932,1584,1072,82,2229.713,6527.578,80.793,2420,1939,114,5201.9,5503.18,sitting
58,1325.613,154.65,12.436,1382,1272,31,1531.867,61.876,7.866,1561,1507,1,2332.347,118.92,10.905,2377,2299,31,1866.373,166.047,12.886,1895,1817,11,1437.633,219.912,14.829,1474,1394,19,2274.507,239.197,15.466,2312,2225,39,5189.826666666667,5578.513333333333,sitting
59,1261.96,11746.465,108.381,1418,838,110,1620.8,28958.613,170.172,2073,1459,544,2326.973,6409.013,80.056,2622,2126,27,1871.053,181.21,13.461,1917,1817,15,1438.167,317.246,17.811,1476,1385,33,2273.9,374.197,19.344,2308,2222,34,5209.733333333334,5583.12,sitting
