Iterazione,AccelX_T1_Mean,AccelX_T1_Variance,AccelX_T1_StdDev,AccelX_T1_Max,AccelX_T1_Min,AccelX_T1_AbsDerivative,AccelY_T1_Mean,AccelY_T1_Variance,AccelY_T1_StdDev,AccelY_T1_Max,AccelY_T1_Min,AccelY_T1_AbsDerivative,AccelZ_T1_Mean,AccelZ_T1_Variance,AccelZ_T1_StdDev,AccelZ_T1_Max,AccelZ_T1_Min,AccelZ_T1_AbsDerivative,AccelX_T2_Mean,AccelX_T2_Variance,AccelX_T2_StdDev,AccelX_T2_Max,AccelX_T2_Min,AccelX_T2_AbsDerivative,AccelY_T2_Mean,AccelY_T2_Variance,AccelY_T2_StdDev,AccelY_T2_Max,AccelY_T2_Min,AccelY_T2_AbsDerivative,AccelZ_T2_Mean,AccelZ_T2_Variance,AccelZ_T2_StdDev,AccelZ_T2_Max,AccelZ_T2_Min,AccelZ_T2_AbsDerivative,AccelT1_SMA,AccelT2_SMA,Label
0,1943.413,308.042,17.551,2005,1845,28,2269.353,75.468,8.687,2300,2247,16,2739.973,78.479,8.859,2769,2719,0,1940.52,1105.93,33.256,1997,1792,30,1406.727,578.732,24.057,1453,1326,87,1107.873,728.951,26.999,1207,1058,63,6952.74,4455.12,sitting
1,1912.093,126885.245,356.21,2477,1010,617,1933.36,142106.297,376.97,2308,1112,1125,2623.327,66604.3,258.078,3039,1931,287,1952.047,47691.111,218.383,2395,1207,232,1309.793,34353.764,185.348,1923,542,80,1286.313,40883.095,202.196,1888,987,512,6468.78,4548.153333333334,sitting
2,1485.627,58523.807,241.917,2314,999,1315,1219.907,24057.111,155.104,1749,868,330,2106.52,102177.196,319.652,2933,1652,532,1858.567,32581.899,180.505,2238,1207,171,1359.72,58739.762,242.363,1923,542,123,1317.167,54915.606,234.341,1888,703,810,4812.053333333333,4535.453333333333,sitting
3,1387.373,52377.181,228.861,1753,904,64,1621.293,63086.781,251.171,1955,868,675,2394.393,83486.185,288.94,2790,1652,510,1907.947,6610.61,81.306,2090,1732,160,1290.86,27101.454,164.625,1826,865,187,1484.013,213374.093,461.924,2012,668,896,5403.06,4682.82,sitting
4,1499.733,1053.982,32.465,1632,1454,148,1818.553,444.474,21.083,1884,1768,43,2616.033,351.392,18.745,2673,2575,14,1924.313,525.255,22.918,1981,1852,34,1266.96,252.718,15.897,1309,1224,32,1988.673,717.793,26.792,2040,1903,77,5934.32,5179.946666666667,sitting
5,1426.093,5714.018,75.591,1605,1200,68,1817.053,1695.144,41.172,1895,1712,31,2575.767,2947.339,54.289,2684,2349,120,1951.22,2561.958,50.616,2128,1786,35,1237.62,2760.102,52.537,1325,1090,174,1802.747,44127.069,210.064,2046,1440,437,5818.913333333333,4991.586666666667,sitting
6,1497.033,7927.259,89.035,1691,1275,283,1813.76,1475.022,38.406,1891,1712,24,2612.947,3004.837,54.816,2729,2453,148,1933.867,2971.596,54.512,2128,1786,93,1234.5,2465.117,49.65,1325,1074,85,1806.84,35032.881,187.171,2025,1440,536,5923.74,4975.206666666667,sitting
7,1502.207,564.284,23.755,1576,1452,49,1817.893,300.189,17.326,1890,1775,63,2619.02,186.566,13.659,2658,2588,14,1925.227,241.975,15.556,1970,1884,34,1264.907,418.511,20.458,1326,1166,17,1999.14,337.707,18.377,2052,1955,54,5939.12,5189.2733333333335,sitting
8,1487.98,79.74,8.93,1512,1452,13,1822.773,51.122,7.15,1844,1804,7,2613.087,49.879,7.063,2630,2593,3,1925.813,119.018,10.91,1952,1892,7,1265.867,185.169,13.608,1297,1227,12,2013.833,190.726,13.81,2045,1972,34,5923.84,5205.513333333333,sitting
9,1492.687,145.428,12.059,1524,1456,14,1815.82,143.681,11.987,1842,1787,23,2612.9,100.277,10.014,2643,2591,10,1925.573,184.618,13.587,1969,1891,27,1269.467,244.182,15.626,1322,1229,7,2012.613,231.624,15.219,2045,1971,4,5921.406666666667,5207.653333333334,sitting
10,1475.353,693.495,26.334,1567,1369,65,1839.9,1825.33,42.724,1975,1792,93,2613.053,430.464,20.748,2686,2555,24,1920.78,292.558,17.104,1954,1848,29,1267.68,490.418,22.145,1331,1197,40,1989.64,1379.377,37.14,2040,1874,124,5928.306666666666,5178.1,sitting
11,1398.14,12404.72,111.376,1704,1168,243,1639.113,100137.994,316.446,1975,977,716,2448.02,38382.673,195.915,2686,1979,486,1943.72,839.348,28.972,2032,1873,54,1270.453,7273.114,85.283,1519,1042,310,1431.64,142894.684,378.014,1976,863,775,5485.2733333333335,4645.8133333333335,sitting
12,1607.193,13270.823,115.199,1758,1208,275,1202.587,7425.616,86.172,1348,977,138,2033.773,5313.229,72.892,2236,1910,183,1973.513,2787.516,52.797,2147,1829,87,1328.093,13754.591,117.28,1519,981,130,1365.42,37648.617,194.033,1640,955,567,4843.553333333333,4667.026666666667,sitting
13,1634.567,402.379,20.059,1680,1577,64,1172.447,876.22,29.601,1279,1108,115,1987.973,1100.226,33.17,2052,1900,106,1906.16,2178.774,46.677,2016,1770,66,1223.68,1546.884,39.33,1386,1150,54,1529.04,1759.145,41.942,1622,1381,192,4794.986666666667,4658.88,sitting
14,1447.053,73211.744,270.577,2146,842,260,1327.54,35327.262,187.955,1743,661,410,2056.907,55896.565,236.425,2906,1698,589,1938.147,11646.258,107.918,2154,1592,91,1385.6,23266.547,152.534,1808,1130,101,1185.04,81602.385,285.661,1575,520,25,4831.5,4508.786666666667,sitting
15,1377.84,72546.188,269.344,1879,598,624,2130.393,271001.479,520.578,2917,1394,1468,2336.707,64632.234,254.229,2727,1904,6,1951.227,1697.975,41.206,2060,1824,106,1241.653,5590.946,74.773,1448,1073,137,1711.133,81389.729,285.289,1980,800,949,5844.94,4904.013333333333,sitting
16,1560.82,45959.868,214.383,2194,926,44,2606.98,184838.62,429.929,3157,1455,858,2202.04,229298.185,478.851,3796,1591,904,1945.947,374.09,19.341,2000,1896,38,1219.427,634.231,25.184,1287,1159,11,1834.66,1354.411,36.802,1948,1779,58,6369.84,5000.033333333334,sitting
17,1459.92,8604.074,92.758,1754,926,43,1769.32,7950.271,89.164,2182,1455,429,2661.727,61907.345,248.812,3796,2337,75,1942.64,228.99,15.132,1969,1894,17,1242.393,740.252,27.208,1349,1154,20,1927.74,878.472,29.639,1983,1843,85,5890.966666666666,5112.7733333333335,sitting
18,1447.52,87.05,9.33,1474,1422,13,1756.94,60.47,7.776,1774,1735,19,2568.96,54.652,7.393,2588,2548,17,1946.307,162.239,12.737,1982,1910,13,1248.653,134.546,11.599,1273,1211,6,1951.347,196.44,14.016,1983,1902,23,5773.42,5146.306666666666,sitting
19,1445.913,116.732,10.804,1484,1425,34,1765.18,190.508,13.802,1812,1737,53,2571.087,121.652,11.03,2613,2547,15,1943.507,196.197,14.007,1976,1904,21,1253.1,341.557,18.481,1305,1195,33,1961.58,232.324,15.242,2007,1916,63,5782.18,5158.1866666666665,sitting
20,1458.067,163.902,12.802,1489,1425,5,1773.42,264.684,16.269,1817,1737,28,2581.673,134.153,11.582,2613,2555,2,1939.907,192.951,13.891,1976,1904,15,1258.12,422.412,20.553,1313,1195,9,1984.3,361.877,19.023,2024,1916,60,5813.16,5182.326666666667,sitting
21,1471.12,1769.679,42.068,1634,1365,28,1801.733,2480.329,49.803,1946,1742,95,2596.273,1383.359,37.194,2777,2519,84,1931.48,779.223,27.915,2035,1821,30,1258.627,1015.674,31.87,1375,1193,22,1939.473,8597.143,92.721,2040,1661,333,5869.126666666667,5129.58,sitting
22,1373.267,25910.649,160.968,1774,1025,211,1582.613,113647.837,337.117,1946,715,557,2358.007,54508.82,233.471,2691,1851,673,1939.413,2591.042,50.902,2054,1823,14,1326.48,9684.623,98.41,1526,1177,238,1269.947,119831.41,346.167,1862,777,505,5313.886666666666,4535.84,sitting
23,1630.307,10981.453,104.792,1774,1237,361,1195.033,23626.579,153.709,1439,715,68,2005.753,3051.346,55.239,2143,1851,141,1982.027,6356.813,79.73,2139,1769,172,1314.227,13247.709,115.099,1526,1050,129,1399.667,22786.196,150.951,1602,896,589,4831.093333333333,4695.92,sitting
24,1633.22,1648.118,40.597,1717,1532,60,1166.647,2266.775,47.611,1281,1027,27,1986.967,822.472,28.679,2046,1916,58,1911.02,2252.326,47.459,2018,1769,43,1221.873,2827.284,53.172,1320,1054,47,1517.807,1443.409,37.992,1602,1415,47,4786.833333333333,4650.7,sitting
25,1444.293,65203.447,255.35,1787,960,450,1317.007,28873.233,169.921,1755,1015,538,2071.333,33717.742,183.624,2486,1844,421,1956.547,3953.608,62.878,2102,1780,59,1451.453,26847.501,163.852,1825,1168,214,1111.687,104177.015,322.765,1587,549,367,4832.633333333333,4519.6866666666665,sitting
26,1505.093,48161.111,219.456,1736,1007,560,1711.967,10519.152,102.563,1863,1378,372,2552.68,21748.898,147.475,2796,2174,436,1946.54,3070.288,55.41,2104,1815,79,1303.513,14848.97,121.856,1635,1132,313,1524.447,190342.314,436.282,1983,566,1371,5769.74,4774.5,sitting
27,1525.34,2275.504,47.702,1703,1462,219,1793.8,308.613,17.567,1820,1735,63,2618.76,415.556,20.385,2679,2571,40,1907.02,354.086,18.817,1949,1838,26,1261.467,452.782,21.279,1331,1197,55,1970.18,620.094,24.902,2016,1886,55,5937.9,5138.666666666667,sitting
28,1485.893,66.029,8.126,1514,1462,13,1803.92,47.834,6.916,1820,1790,1,2604.76,57.076,7.555,2627,2585,8,1911.713,124.764,11.17,1939,1880,10,1263.693,243.026,15.589,1302,1196,1,1985.333,162.636,12.753,2012,1944,10,5894.573333333334,5160.74,sitting
29,1484.873,54.737,7.398,1504,1465,2,1801.327,40.38,6.355,1819,1784,2,2603.287,66.244,8.139,2627,2583,4,1913.633,144.952,12.04,1947,1876,13,1266.06,149.776,12.238,1302,1229,12,1994.687,151.588,12.312,2029,1959,11,5889.486666666667,5174.38,sitting
30,1486.207,54.311,7.37,1505,1469,8,1798.96,46.265,6.802,1819,1777,0,2603.327,47.113,6.864,2620,2583,5,1916.7,167.357,12.937,1951,1872,14,1266.347,162.186,12.735,1294,1221,10,1997.16,122.081,11.049,2029,1958,12,5888.493333333333,5180.206666666667,sitting
31,1471.18,668.014,25.846,1517,1402,76,1809.553,226.434,15.048,1847,1784,27,2600.767,118.886,10.903,2621,2568,7,1917.72,198.588,14.092,1951,1866,19,1257.34,469.571,21.67,1312,1193,63,1962.06,2331.23,48.283,2024,1834,149,5881.5,5137.12,sitting
32,1384.533,19098.156,138.196,1765,1099,229,1601.287,127799.151,357.49,2067,751,749,2396.58,59829.484,244.601,2855,1923,623,1937.767,761.686,27.599,2073,1874,147,1266.847,8550.503,92.469,1516,1047,236,1430.887,141742.567,376.487,1911,839,650,5382.4,4635.5,sitting
33,1618.8,12665.533,112.541,1808,1302,304,1193.58,24586.79,156.802,1449,751,147,2005.067,7812.142,88.386,2163,1814,145,1970.187,4368.498,66.095,2119,1791,173,1330.193,15735.209,125.44,1531,981,116,1361.04,30474.785,174.57,1607,931,553,4817.446666666667,4661.42,sitting
34,1613.447,15646.78,125.087,1767,1032,380,1203.92,14721.514,121.332,1593,719,144,1955.34,33287.944,182.45,3038,1602,83,1945.06,9663.243,98.302,2111,1738,1,1352.773,24292.122,155.859,1804,1128,184,1335.467,32812.769,181.143,1537,732,772,4772.706666666667,4633.3,sitting
35,1253.493,61070.823,247.125,1649,637,676,1556.453,76231.914,276.101,2251,719,1123,2316.467,111831.809,334.413,3038,1602,681,1955.3,4762.877,69.014,2111,1761,94,1367.007,24801.06,157.484,1804,1099,284,1285.66,195481.224,442.133,1934,487,689,5126.413333333333,4607.966666666666,sitting
36,1485.633,160014.059,400.018,2566,637,369,2603.587,154084.469,392.536,3120,1669,1123,2166.54,110655.702,332.65,2803,1420,361,1937.293,1356.807,36.835,2018,1822,3,1245.38,1560.636,39.505,1349,1123,52,1909.433,2059.726,45.384,1975,1742,26,6255.76,5092.106666666667,sitting
37,1685.247,145237.706,381.101,2378,373,832,2276.267,263664.409,513.483,2984,1343,1224,2481.553,126512.26,355.686,4016,2077,130,1944.513,862.316,29.365,2044,1876,4,1243.087,851.679,29.184,1355,1151,47,1938.88,714.012,26.721,2019,1868,21,6443.066666666667,5126.48,sitting
38,1582.447,52669.327,229.498,2331,1269,394,1634.847,9570.81,97.831,1844,1351,34,2553.72,9120.188,95.5,2794,2246,9,1938.433,434.806,20.852,1997,1879,19,1248.773,675.335,25.987,1355,1176,113,1954.92,380.607,19.509,2016,1881,30,5771.013333333333,5142.126666666667,sitting
39,1695.667,13427.289,115.876,2229,1562,526,1496.44,4120.193,64.189,1739,1348,120,2507.52,2834.956,53.244,2727,2383,224,1931.78,315.932,17.774,1997,1880,38,1249.767,361.179,19.005,1312,1188,23,1953.8,214.373,14.641,1988,1907,19,5699.626666666667,5135.346666666666,sitting
40,1637.273,142.679,11.945,1663,1607,28,1478.707,65.394,8.087,1500,1457,7,2477.307,88.333,9.399,2503,2451,9,1929.447,124.66,11.165,1959,1899,8,1250.98,170.126,13.043,1286,1215,16,1959.66,148.624,12.191,1987,1928,17,5593.286666666667,5140.086666666667,sitting
41,1634.927,1771.961,42.095,1889,1592,102,1467.76,840.449,28.99,1547,1307,65,2485.36,3427.564,58.545,2759,2308,123,1929.533,162.596,12.751,1971,1899,2,1252.127,172.071,13.118,1286,1210,3,1959.767,153.072,12.372,1988,1919,4,5588.046666666667,5141.426666666666,sitting
42,1510.66,19426.811,139.38,1889,1184,264,1705.38,36244.062,190.379,2003,1307,375,2556.627,20019.127,141.489,2993,2214,27,1923.853,895.138,29.919,1992,1804,18,1255.22,509.585,22.574,1311,1189,8,1948.153,1194.196,34.557,2012,1850,97,5772.666666666667,5127.2266666666665,sitting
43,1371.567,20991.646,144.885,1695,972,148,1561.6,120377.627,346.955,2003,594,560,2333.08,70388.58,265.308,2700,1762,938,1909.047,3670.151,60.582,2073,1763,43,1260.84,11309.974,106.348,1531,1007,88,1450.447,117769.567,343.176,1949,908,630,5266.246666666667,4620.333333333333,sitting
44,1604.613,8294.824,91.076,1748,1324,115,1184.547,28318.194,168.28,1476,594,34,1957.72,5818.762,76.281,2082,1762,75,1949.273,4158.505,64.486,2094,1788,53,1308.453,14255.368,119.396,1531,995,153,1427.773,18111.175,134.578,1620,1146,398,4746.88,4685.5,sitting
45,1559.213,14182.928,119.092,1780,1209,278,1194.02,4669.58,68.334,1390,1052,50,1891.687,7425.642,86.172,2041,1703,76,1942.167,8081.619,89.898,2129,1745,109,1402.86,36491.947,191.029,1807,1127,577,1274.373,62895.967,250.791,1616,846,692,4644.92,4619.4,sitting
46,1259.62,10485.009,102.396,1492,1060,18,1524.973,43728.253,209.113,1866,1135,489,2203.173,65959.183,256.825,2537,1728,643,1968.813,3120.338,55.86,2129,1797,52,1542.147,50258.418,224.184,1881,1197,379,1031.547,108304.381,329.096,1758,656,819,4987.766666666666,4542.506666666667,sitting
47,1584.687,39439.908,198.595,2016,1209,347,1742.867,8329.409,91.266,1929,1606,140,2602.72,10648.788,103.193,2853,2341,187,1930.393,1476.532,38.426,2039,1829,52,1238.04,627.198,25.044,1315,1159,15,1833.78,21370.225,146.186,1973,1365,555,5930.2733333333335,5002.213333333333,sitting
48,1536.287,1848.524,42.994,1744,1446,211,1777.66,166.038,12.886,1819,1751,28,2619.06,536.923,23.172,2725,2573,106,1912.26,207.792,14.415,1942,1867,22,1250.747,201.869,14.208,1280,1194,19,1954.68,313.271,17.699,1998,1912,28,5933.006666666667,5117.6866666666665,sitting
49,1520.58,88.004,9.381,1546,1496,23,1773.24,76.249,8.732,1796,1745,14,2609.773,56.002,7.483,2626,2587,7,1918.333,235.729,15.353,1971,1884,42,1256.227,352.429,18.773,1318,1181,30,1975.76,571.609,23.908,2069,1885,72,5903.593333333333,5150.32,sitting
50,1521.56,141.9,11.912,1546,1492,18,1770.367,74.726,8.644,1796,1745,6,2608.653,185.2,13.609,2639,2568,4,1932.627,255.834,15.995,1971,1890,10,1263.907,846.631,29.097,1330,1181,19,1996.847,1702.69,41.264,2069,1885,14,5900.58,5193.38,sitting
51,1522.073,84.721,9.204,1545,1498,18,1766.307,58.999,7.681,1783,1747,0,2609.227,94.082,9.7,2639,2568,5,1923.053,191.13,13.825,1969,1882,21,1264.727,237.439,15.409,1317,1225,28,2000.16,509.761,22.578,2066,1926,58,5897.606666666667,5187.94,sitting
52,1532.66,4619.318,67.966,1776,1036,76,1756.833,686.592,26.203,1855,1659,66,2607.773,4222.189,64.978,2773,2095,92,1928.913,377.959,19.441,1981,1867,16,1263.64,419.804,20.489,1317,1200,4,1990.533,1122.596,33.505,2128,1842,66,5897.266666666666,5183.086666666667,sitting
53,1533.753,5052.772,71.083,1776,1036,52,1749.5,682.637,26.127,1855,1659,4,2607.38,4775.969,69.108,2773,2095,10,1936.38,222.676,14.922,1981,1867,28,1263.38,274.689,16.574,1317,1225,7,1998.753,220.092,14.835,2039,1965,11,5890.633333333333,5198.513333333333,sitting
54,1445.78,13305.558,115.35,1624,1062,460,1761.393,16504.119,128.468,1973,1336,418,2557.107,11556.002,107.499,2727,2078,511,1925.513,663.45,25.758,2026,1859,7,1233.153,5689.943,75.432,1346,903,38,1731.407,125615.428,354.423,2044,819,1147,5764.28,4890.073333333334,sitting
55,1504.293,37816.127,194.464,1786,1062,415,1286.3,42877.05,207.068,1709,819,580,2070.353,32633.322,180.647,2521,1831,379,1978.307,2320.999,48.177,2121,1886,20,1299.573,22160.885,148.865,1594,903,63,1276.293,45291.154,212.817,1583,819,177,4860.946666666667,4554.173333333333,sitting
56,1646.04,2436.132,49.357,1786,1580,17,1171.18,1941.894,44.067,1257,1055,37,2010.213,2266.341,47.606,2107,1929,67,1901.3,7233.463,85.05,2077,1736,40,1228.62,2777.889,52.706,1325,1054,24,1514.213,1405.248,37.487,1597,1414,37,4827.433333333333,4644.133333333333,sitting
57,1665.567,2188.459,46.781,1811,1590,17,1175.593,2064.668,45.439,1248,1058,83,2019.853,2009.578,44.828,2124,1946,29,1911.42,6456.177,80.35,2077,1775,32,1218.733,3519.369,59.324,1366,1012,35,1531.367,1608.752,40.109,1667,1445,11,4861.013333333333,4661.52,sitting
58,1651.593,834.988,28.896,1735,1593,12,1185.853,6769.245,82.275,1450,1079,276,1939.24,1452.329,38.109,2003,1813,136,1869.167,3327.779,57.687,2011,1714,67,1269.473,14922.476,122.158,1740,1038,252,1486.927,10622.535,103.066,1639,1212,228,4776.6866666666665,4625.566666666667,sitting
59,1366.513,49927.45,223.445,1735,812,202,1445.4,48254.067,219.668,1849,987,646,2164.033,50944.526,225.709,2583,1806,494,1929.413,16749.149,129.419,2361,1566,41,1347.133,27641.582,166.258,1740,972,173,1245.36,80354.084,283.468,1938,695,27,4975.946666666667,4521.906666666667,sitting
60,1170.54,18671.248,136.643,1479,814,216,1719.207,15280.564,123.615,1947,1443,177,2283.92,27737.154,166.545,2583,1973,167,1896.04,2877.518,53.643,2033,1780,9,1219.687,12532.642,111.949,1495,953,90,1570.853,27518.405,165.887,1938,1191,83,5173.666666666667,4686.58,sitting
61,1513.067,39967.142,199.918,1849,1010,384,1666.907,11774.765,108.512,1947,1486,50,2534.067,21364.662,146.167,3101,2256,178,1892.0,2211.84,47.03,2038,1803,76,1210.12,6282.812,79.264,1382,953,347,1751.847,14608.25,120.865,2133,1467,426,5714.04,4853.966666666666,sitting
62,1529.193,438.849,20.949,1587,1486,65,1633.147,352.712,18.781,1676,1574,38,2551.767,426.272,20.646,2629,2507,29,1921.273,819.572,28.628,2038,1803,43,1234.353,2215.268,47.067,1382,1069,181,1907.02,4153.873,64.451,2133,1577,126,5714.106666666667,5062.6466666666665,sitting
63,1517.533,145.422,12.059,1542,1481,4,1641.993,76.98,8.774,1664,1620,35,2546.807,98.676,9.934,2572,2515,4,1916.573,207.778,14.415,1954,1858,40,1238.507,672.943,25.941,1331,1170,54,1914.54,1479.835,38.469,2027,1752,76,5706.333333333333,5069.62,sitting
64,1489.473,708.183,26.612,1531,1424,39,1673.587,898.362,29.973,1736,1627,80,2552.387,656.49,25.622,2611,2500,21,1904.467,461.396,21.48,1955,1830,36,1217.387,1878.89,43.346,1325,1108,9,1807.507,10953.93,104.661,1987,1557,268,5715.446666666667,4929.36,sitting
65,1485.42,1285.27,35.851,1568,1424,59,1694.12,512.506,22.639,1751,1638,57,2560.627,753.874,27.457,2630,2508,56,1911.507,515.45,22.704,1965,1830,28,1204.393,1678.879,40.974,1282,1112,93,1711.72,4831.042,69.506,1873,1496,53,5740.166666666667,4827.62,sitting
66,1555.907,652.085,25.536,1602,1469,51,1643.88,440.612,20.991,1694,1596,30,2567.227,204.882,14.314,2594,2526,22,1908.28,450.495,21.225,1961,1862,13,1221.187,1055.338,32.486,1317,1131,12,1813.813,5435.938,73.729,2001,1627,144,5767.013333333333,4943.28,sitting
67,1515.96,1131.252,33.634,1596,1458,113,1673.273,753.279,27.446,1726,1611,95,2564.807,195.356,13.977,2593,2521,28,1895.9,1078.637,32.843,1997,1814,61,1227.04,750.545,27.396,1325,1136,69,1849.807,811.996,28.496,1955,1777,32,5754.04,4972.746666666667,sitting
68,1492.787,820.514,28.645,1605,1425,5,1691.553,604.9,24.595,1754,1644,41,2563.24,161.489,12.708,2596,2526,11,1891.273,2360.852,48.589,2025,1691,55,1223.107,489.029,22.114,1297,1129,40,1834.707,1658.007,40.719,2010,1615,27,5747.58,4949.086666666667,sitting
69,1496.74,1196.899,34.596,1614,1433,52,1706.813,7048.965,83.958,1953,1600,272,2564.28,1251.402,35.375,2677,2502,70,1893.48,1571.796,39.646,2019,1691,34,1229.067,1337.089,36.566,1335,1151,42,1816.98,6611.246,81.31,2090,1540,2,5767.833333333333,4939.526666666667,sitting
70,1473.513,30161.703,173.671,1745,1048,216,1462.62,118596.622,344.379,1953,642,339,2248.793,76275.311,276.18,2677,1850,516,1957.28,5799.948,76.157,2145,1707,219,1308.673,38335.607,195.795,1839,817,249,1351.793,110748.311,332.789,1919,531,408,5184.926666666666,4617.746666666667,sitting
71,1631.607,1751.265,41.848,1728,1511,17,1188.213,9761.114,98.798,1543,942,403,1988.073,2140.455,46.265,2118,1891,145,1921.22,12232.465,110.6,2145,1677,128,1254.553,9940.22,99.701,1484,993,302,1434.06,6882.03,82.958,1593,1083,305,4807.893333333333,4609.833333333333,sitting
72,1594.08,22995.714,151.643,1948,1122,285,1214.613,5524.77,74.329,1356,1072,15,1948.04,12701.398,112.7,2191,1694,111,1921.42,6241.79,79.005,2070,1694,8,1347.513,26464.276,162.678,1768,1067,145,1345.573,24067.138,155.136,1549,830,647,4756.733333333334,4614.506666666667,sitting
73,1327.353,29378.202,171.401,1672,975,84,1503.307,36111.013,190.029,1786,1113,455,2254.407,71461.295,267.322,2658,1694,838,1894.487,2012.503,44.861,2009,1694,105,1470.173,39049.81,197.61,1768,1168,326,1153.507,166832.663,408.452,1893,548,676,5085.066666666667,4518.166666666667,sitting
74,1576.067,3481.489,59.004,1756,1424,145,1666.0,3116.573,55.826,1813,1567,81,2579.56,1805.566,42.492,2720,2473,81,1907.54,697.128,26.403,1977,1826,38,1242.827,619.45,24.889,1295,1171,29,1888.72,5199.828,72.11,1992,1624,298,5821.626666666667,5039.086666666667,sitting
75,1611.313,392.548,19.813,1651,1567,16,1630.98,293.02,17.118,1679,1594,17,2580.547,134.568,11.6,2611,2550,13,1905.567,344.672,18.565,1949,1859,15,1245.313,259.868,16.12,1286,1177,34,1936.94,428.563,20.702,1997,1888,15,5822.84,5087.82,sitting
76,1602.347,342.96,18.519,1643,1564,43,1644.967,145.792,12.074,1683,1608,31,2585.353,193.615,13.915,2620,2551,9,1897.447,308.807,17.573,1936,1846,30,1244.733,446.076,21.121,1299,1198,8,1938.68,451.658,21.252,2017,1879,16,5832.666666666667,5080.86,sitting
77,1613.887,193.314,13.904,1643,1580,40,1629.16,134.534,11.599,1661,1603,40,2580.233,115.192,10.733,2607,2551,3,1890.393,265.532,16.295,1928,1839,48,1249.62,328.956,18.137,1300,1210,36,1949.353,357.655,18.912,1996,1893,2,5823.28,5089.366666666667,sitting
78,1608.713,380.191,19.498,1649,1520,106,1632.847,260.743,16.148,1676,1591,12,2580.453,123.661,11.12,2609,2552,4,1889.913,664.866,25.785,1952,1832,4,1247.5,743.943,27.275,1342,1134,99,1945.767,636.139,25.222,1999,1854,1,5822.013333333333,5083.18,sitting
79,1585.373,3015.474,54.913,1748,1438,85,1676.86,3996.254,63.216,1857,1578,110,2586.813,1486.325,38.553,2708,2524,41,1902.647,900.655,30.011,1987,1837,1,1245.92,1810.007,42.544,1361,1134,42,1880.667,15946.756,126.28,2038,1491,431,5849.046666666667,5029.233333333334,sitting
80,1502.393,20287.919,142.436,1715,1148,137,1387.073,93718.441,306.135,1838,627,472,2207.547,74388.434,272.742,2708,1770,471,1942.147,5525.698,74.335,2168,1671,111,1309.727,26969.665,164.224,1693,979,14,1310.18,68656.108,262.023,1807,835,307,5097.013333333333,4562.053333333333,sitting
81,1642.78,2549.158,50.489,1757,1523,101,1203.32,7233.444,85.05,1427,1009,217,2015.607,5495.079,74.129,2150,1854,152,1906.62,8401.529,91.66,2106,1697,278,1242.22,7961.598,89.228,1500,1019,159,1503.86,8433.68,91.835,1684,1138,242,4861.706666666667,4652.7,sitting
82,1636.773,5678.602,75.356,2027,1460,52,1203.607,12450.439,111.582,1432,1003,65,1951.133,5863.889,76.576,2175,1818,18,1901.94,7755.39,88.065,2161,1683,260,1313.927,32005.801,178.902,1935,1019,605,1404.8,15216.12,123.354,1608,1081,389,4791.513333333333,4620.666666666667,sitting
83,1374.593,59159.361,243.227,2027,875,20,1475.467,57995.796,240.823,1921,931,293,2244.88,55891.959,236.415,2631,1823,728,1913.113,5773.7,75.985,2161,1772,261,1486.347,40890.613,202.214,1935,1174,49,1097.253,130076.496,360.661,1774,451,454,5094.94,4496.713333333333,sitting
84,1555.2,4868.773,69.777,1692,1307,119,1668.887,2723.42,52.186,1814,1589,4,2570.853,2618.472,51.171,2767,2438,144,1914.333,581.529,24.115,1963,1838,76,1218.133,566.556,23.802,1297,1169,34,1702.1,6356.677,79.729,1793,1418,326,5794.94,4834.566666666667,sitting
85,1382.373,45596.127,213.532,1705,747,160,2232.753,335055.239,578.84,3106,1416,1360,2188.52,145915.596,381.989,2685,1517,859,1913.42,276.857,16.639,1952,1851,14,1208.38,170.302,13.05,1255,1168,12,1752.027,608.239,24.663,1809,1698,61,5803.6466666666665,4873.826666666667,sitting
86,1404.62,43384.236,208.289,2034,677,247,2416.74,273895.352,523.35,3106,1377,969,2128.62,207976.182,456.044,3338,1517,682,1919.253,192.296,13.867,1958,1874,5,1215.38,260.449,16.138,1276,1176,28,1797.793,465.311,21.571,1868,1752,64,5949.98,4932.426666666666,sitting
87,1472.84,5119.961,71.554,1707,1233,221,1693.347,3584.16,59.868,1821,1377,276,2573.52,13965.903,118.177,3338,2398,742,1911.367,243.352,15.6,1945,1873,17,1221.16,291.921,17.086,1276,1172,28,1834.02,354.233,18.821,1883,1779,44,5739.706666666667,4966.546666666667,sitting
88,1473.153,4400.303,66.335,1850,1298,22,1708.293,1105.567,33.25,1835,1559,4,2559.08,2378.967,48.775,2833,2437,24,1909.127,157.137,12.535,1946,1872,12,1223.62,242.316,15.567,1272,1171,17,1838.427,248.285,15.757,1879,1797,22,5740.526666666667,4971.173333333333,sitting
89,1447.233,3362.432,57.986,1561,1238,225,1728.747,3916.616,62.583,1910,1551,157,2546.713,2884.951,53.712,2659,2251,320,1913.993,1318.26,36.308,2131,1844,139,1226.867,705.156,26.555,1285,1099,16,1747.933,27528.289,165.917,1879,1092,727,5722.693333333334,4888.793333333333,sitting
